	MS_#Scan#	Compound_Name_simplified	annotation	order
8	MS_840	3-methylhistidine-C2:0 	C2:0	001_3
1	MS_614	Histamine-C2:0 	C2:0	001_Histamine
6	MS_4039	Methionine-C2:0 	C2:0	001_Methionine
7	MS_9983	Phenylalanine-C2:0 	C2:0	001_Phenylalanine
0	MS_718	Putrescine-C2:0 	C2:0	001_Putrescine
5	MS_485	Spermidine-C2:0 	C2:0	001_Spermidine
3	MS_3957	Valine-C2:0 	C2:0	001_Valine
2	MS_1557	Cadaverine-C3:0 	C3:0	002_Cadaverine
10	MS_13814	Phenylalanine-C4:0 	C4:0	003_Phenylalanine
4	MS_4136	Cadaverine-C5:0 	C5:0	004_Cadaverine
9	MS_15981	Leucine-C5:0 	C5:0	004_Leucine
11	MS_10645	Tyrosine-C5:0 	C5:0	004_Tyrosine
13	MS_23517	Asparagine-C14:0 	C14:0	013_Asparagine
19	MS_30065	2-phenethylamine-C16:0 	C16:0	015_2
12	MS_30185	Amylamine-C16:0 	C16:0	015_Amylamine
39	MS_23840	Arginine-C16:0 	C16:0	015_Arginine
22	MS_29013	Leucine-C16:0 	C16:0	015_Leucine
26	MS_23556	Lysine-C16:0 	C16:0	015_Lysine
36	MS_29005	Phenylalanine-C16:0 	C16:0	015_Phenylalanine
21	MS_25563	Spermidine-C16:0 	C16:0	015_Spermidine
18	MS_28632	Valine-C16:0 	C16:0	015_Valine
17	MS_30838	Amylamine-C18:0 	C18:0	017_Amylamine
35	MS_30091	Leucine-C18:0 	C18:0	017_Leucine
46	MS_30085	Phenylalanine-C18:0 	C18:0	017_Phenylalanine
20	MS_23805	Spermidine-C16:1 	C16:1	043_Spermidine
27	MS_30215	2-phenethylamine-C18:1 	C18:1	045_2
16	MS_30388	Amylamine-C18:1 	C18:1	045_Amylamine
34	MS_26934	Aspartic acid-C18:1 	C18:1	045_Aspartic acid
33	MS_29459	Leucine-C18:1 	C18:1	045_Leucine
38	MS_23873	Lysine-C18:1 	C18:1	045_Lysine
37	MS_24489	Lysine-C18:1 	C18:1	045_Lysine
40	MS_28750	Methionine-C18:1 	C18:1	045_Methionine
45	MS_29435	Phenylalanine-C18:1 	C18:1	045_Phenylalanine
30	MS_22498	Spermidine-C18:1 	C18:1	045_Spermidine
29	MS_26131	Spermidine-C18:1 	C18:1	045_Spermidine
48	MS_27625	Tyrosine-C18:1 	C18:1	045_Tyrosine
24	MS_28897	Valine-C18:1 	C18:1	045_Valine
43	MS_30179	Leucine-C20:1 	C20:1	047_Leucine
25	MS_29738	2-phenethylamine-C18:2 	C18:2	071_2
14	MS_29852	Amylamine-C18:2 	C18:2	071_Amylamine
32	MS_25616	Aspartic acid-C18:2 	C18:2	071_Aspartic acid
31	MS_28514	Leucine-C18:2 	C18:2	071_Leucine
44	MS_28483	Phenylalanine-C18:2 	C18:2	071_Phenylalanine
15	MS_23461	Putrescine-C18:2 	C18:2	071_Putrescine
28	MS_24526	Spermidine-C18:2 	C18:2	071_Spermidine
50	MS_27861	Tryptophan-C18:2 	C18:2	071_Tryptophan
47	MS_26700	Tyrosine-C18:2 	C18:2	071_Tyrosine
23	MS_27931	Valine-C18:2 	C18:2	071_Valine
42	MS_29727	Leucine-C20:2 	C20:2	073_Leucine
41	MS_28944	Leucine-C20:3 	C20:3	097_Leucine
49	MS_29509	Phenylalanine-C20:3 	C20:3	097_Phenylalanine
